2026-05-20 12:17:25 | INFO     | file_logger.py:75 | 程序启动
2026-05-20 12:17:26 | ERROR    | file_logger.py:81 | 发生错误
2026-05-20 12:20:55 | INFO     | file_logger.py:75 | 程序启动
2026-05-20 12:21:21 | INFO     | file_logger.py:75 | 程序启动
2026-05-20 12:22:11 | INFO     | file_logger.py:75 | 程序启动
2026-05-20 12:34:03 | INFO     | file_logger.py:75 | 程序启动
2026-05-20 12:34:03 | INFO     | file_logger.py:75 | 解析数据
2026-05-20 12:34:03 | INFO     | file_logger.py:75 | 成功解析 3 条资产记录
2026-05-20 12:34:03 | INFO     | file_logger.py:75 |   1. IP语音座机 - test202601101004 - 发放 - 测试人员2
2026-05-20 12:34:03 | INFO     | file_logger.py:75 |   2. 显示器 - test201801160107 - 搬迁 - 测试
2026-05-20 12:34:03 | INFO     | file_logger.py:75 |   3. 显示器 - testTY2020000061XSQ - 发放 - 测试人员2
2026-05-20 12:34:03 | INFO     | file_logger.py:75 | 
2026-05-20 12:57:50 | INFO     | file_logger.py:75 | 程序启动
2026-05-20 12:57:50 | INFO     | file_logger.py:75 | 成功解析 3 条资产记录
2026-05-20 12:57:50 | INFO     | file_logger.py:75 |   1. IP语音座机 - test202601101004 - 发放 - 测试人员2
2026-05-20 12:57:50 | INFO     | file_logger.py:75 |   2. 显示器 - test201801160107 - 搬迁 - 测试
2026-05-20 12:57:50 | INFO     | file_logger.py:75 |   3. 显示器 - testTY2020000061XSQ - 发放 - 测试人员2
2026-05-20 12:57:50 | INFO     | asset_automator.py:46 | 资产管理系统登录成功
2026-05-20 12:57:50 | INFO     | asset_automator.py:223 | ✅ 查询到资产：编码=test202601101004, 名称=IP语音座机
2026-05-20 12:57:51 | INFO     | asset_automator.py:223 | ✅ 查询到资产：编码=test202601101004, 名称=IP语音座机
2026-05-20 12:57:51 | INFO     | asset_automator.py:271 | ✅备注号码9999修改成功！
2026-05-20 12:57:51 | INFO     | asset_automator.py:334 | 📊资产修改完成,  修改后数据：{'id': 'BCBCDB15-CB38-443B-B777-77227D991F89', 'deptName': '审判管理办公室（研究室）', 'staffName': '测试人员2', 'createTime': '2026-05-20 12:57:50', 'maintainCost': 0.0, 'businessStatus': 2, 'operateTime': '2026-05-20 12:57:50', 'state': 0}
2026-05-20 12:57:52 | INFO     | asset_automator.py:223 | ✅ 查询到资产：编码=test201801160107, 名称=显示器
2026-05-20 12:57:52 | INFO     | asset_automator.py:334 | 📊资产修改完成,  修改后数据：{'id': '63D4966E-F450-4AE5-8B04-F600EB502D5B', 'deptName': '', 'staffName': '', 'createTime': '2026-05-20 12:57:51', 'maintainCost': 0.0, 'depositSite': '2号楼425', 'businessStatus': 2, 'operateTime': '2026-05-20 12:57:52', 'state': 0}
2026-05-20 12:57:52 | INFO     | asset_automator.py:223 | ✅ 查询到资产：编码=testTY2020000061XSQ, 名称=显示器
2026-05-20 12:57:52 | INFO     | asset_automator.py:334 | 📊资产修改完成,  修改后数据：{'id': '6CEF4575-4FCF-4485-8F19-74292978A16A', 'deptName': '审判管理办公室（研究室）', 'staffName': '测试人员2', 'createTime': '2026-05-20 12:57:52', 'maintainCost': 0.0, 'depositSite': '2号楼000', 'businessStatus': 2, 'operateTime': '2026-05-20 12:57:52', 'state': 0}
2026-05-20 13:00:32 | INFO     | file_logger.py:75 | 程序启动
2026-05-20 13:00:32 | INFO     | file_logger.py:75 | 成功解析 3 条资产记录
2026-05-20 13:00:32 | INFO     | file_logger.py:75 |   1. IP语音座机 - test202601101004 - 发放 - 测试人员2
2026-05-20 13:00:32 | INFO     | file_logger.py:75 |   2. 显示器 - test201801160107 - 搬迁 - 测试
2026-05-20 13:00:32 | INFO     | file_logger.py:75 |   3. 显示器 - testTY2020000061XSQ - 发放 - 测试人员2
2026-05-20 13:00:32 | INFO     | asset_automator.py:46 | ✅ 资产管理系统登录成功
2026-05-20 13:00:33 | INFO     | asset_automator.py:223 | ✅ 查询到资产：编码=test202601101004, 名称=IP语音座机
2026-05-20 13:00:33 | INFO     | asset_automator.py:223 | ✅ 查询到资产：编码=test202601101004, 名称=IP语音座机
2026-05-20 13:00:34 | INFO     | asset_automator.py:271 | ✅备注号码9999修改成功！
2026-05-20 13:00:34 | INFO     | asset_automator.py:334 | ✅ 📊资产修改完成,  修改后数据：{'id': '86CE661C-5666-4E5C-802A-E8EFC12045BF', 'deptName': '审判管理办公室（研究室）', 'staffName': '测试人员2', 'createTime': '2026-05-20 13:00:33', 'maintainCost': 0.0, 'businessStatus': 2, 'operateTime': '2026-05-20 13:00:33', 'state': 0}
2026-05-20 13:00:34 | INFO     | asset_automator.py:223 | ✅ 查询到资产：编码=test201801160107, 名称=显示器
